,id,country,title,title_length,category,tag_num,duration,duration_secs,views,likes,dislikes,comment_count
40,nxnZe6wjjqU,GB,Jeremy Clarkson reveals details about future episodes of The Grand Tour,71,2,6,PT6M1S,361.0,1505559,51343,516,2818
41,oUJEhi0Y8oc,GB,GOODBYE SEASON 5!,17,20,12,PT12M59S,779.0,1788490,90452,653,9524
42,dsPQ6FG1nLY,GB,#OFB​ IZZPOT - LIVE’⭕️ [Official Music Video],45,10,0,PT3M,180.0,174283,14102,94,940
43,rr7bmcaL6Hg,GB,I Punched An Olympic Gymnast | AS HARD AS I COULD!,50,22,20,PT11M11S,671.0,391879,14679,240,1578
44,g8HyyDEqhEg,GB,93rd Oscars Nominations,23,22,0,PT21M,1260.0,450964,15218,645,1930
45,yVsjV1hQRzE,GB,James Corden Recaps the GRAMMYs,31,24,20,PT11M48S,708.0,190458,13898,197,1036
46,krcpG_0oZVM,GB,100 Drops - [Salty Towers],26,20,24,PT30M1S,1801.0,888202,66790,1879,8872
47,HgwLVnwCvBY,GB,GUESS THE ARTIST WITH CHUNKZ & DARKEST MAN,42,24,0,PT11M30S,690.0,166905,25678,60,463
48,wAUOFiwkN3g,GB,I created my *OWN* Fortnite LIVE EVENT! (Agent Jones),53,20,20,PT8M17S,497.0,590683,24499,673,1697
49,ctRLLwPwwsA,GB,Valkyrae x Natsumiii x Lilypichu  - Last Cup of Coffee ♫ Cover,62,20,3,PT1M13S,73.0,892017,127498,445,8457
50,UnBZLFB7kLo,US,Cardi B - Up / WAP feat. Megan Thee Stallion (Live from the 63rd GRAMMYs ®️ 2021),81,10,27,PT4M24S,264.0,4176108,145435,22772,24790
51,teoHWCMnpFE,US,Harry Styles - Watermelon Sugar (LIVE at the 63rd Grammys),58,10,4,PT3M31S,211.0,808245,112593,939,8004
52,vFWv44Z4Jhk,US,Dua Lipa - Levitating ft. DaBaby / Don't Start Now (Live at the GRAMMYs 2021),77,10,16,PT5M5S,305.0,9792287,633187,10098,24214
